GPT3_token,GPT3,sentence_id,sent,sent_index
 uncle,8.423862,2,I know what our uncle grabbed in front of the guests at the holiday party,5
 grabbed,13.328655,2,I know what our uncle grabbed in front of the guests at the holiday party,6
 in,3.4727082,2,I know what our uncle grabbed in front of the guests at the holiday party,7
 front,5.4280047,2,I know what our uncle grabbed in front of the guests at the holiday party,8
 of,0.021990623,2,I know what our uncle grabbed in front of the guests at the holiday party,9
 the,1.4631926,2,I know what our uncle grabbed in front of the guests at the holiday party,10
 guests,7.180748,2,I know what our uncle grabbed in front of the guests at the holiday party,11
 at,2.7657194,2,I know what our uncle grabbed in front of the guests at the holiday party,12
 the,0.6811169,2,I know what our uncle grabbed in front of the guests at the holiday party,13
 holiday,6.9811864,2,I know what our uncle grabbed in front of the guests at the holiday party,14
 party,0.53310025,2,I know what our uncle grabbed in front of the guests at the holiday party,15
I,-0,3,I know that our uncle grabbed in front of the guests at the holiday party,1
 know,4.262996,3,I know that our uncle grabbed in front of the guests at the holiday party,2
 that,2.392272,3,I know that our uncle grabbed in front of the guests at the holiday party,3
 our,5.710756,3,I know that our uncle grabbed in front of the guests at the holiday party,4
 uncle,8.913456,3,I know that our uncle grabbed in front of the guests at the holiday party,5
 grabbed,11.946835,3,I know that our uncle grabbed in front of the guests at the holiday party,6
 in,8.846849,3,I know that our uncle grabbed in front of the guests at the holiday party,7
 front,4.361346,3,I know that our uncle grabbed in front of the guests at the holiday party,8
 of,0.07678605,3,I know that our uncle grabbed in front of the guests at the holiday party,9
 the,1.7283679,3,I know that our uncle grabbed in front of the guests at the holiday party,10
 guests,6.997308,3,I know that our uncle grabbed in front of the guests at the holiday party,11
 at,3.2550282,3,I know that our uncle grabbed in front of the guests at the holiday party,12
 the,0.61659527,3,I know that our uncle grabbed in front of the guests at the holiday party,13
 holiday,7.239571,3,I know that our uncle grabbed in front of the guests at the holiday party,14
 party,1.4391298,3,I know that our uncle grabbed in front of the guests at the holiday party,15
My,-0,4,My neighbor told me what the dog caught the mouse in full view of the neighbors yesterday,1
 neighbor,7.7020807,4,My neighbor told me what the dog caught the mouse in full view of the neighbors yesterday,2
 told,4.0765567,4,My neighbor told me what the dog caught the mouse in full view of the neighbors yesterday,3
 me,0.09290531,4,My neighbor told me what the dog caught the mouse in full view of the neighbors yesterday,4
 what,4.341303,4,My neighbor told me what the dog caught the mouse in full view of the neighbors yesterday,5
 the,3.9437451,4,My neighbor told me what the dog caught the mouse in full view of the neighbors yesterday,6
 dog,4.7978225,4,My neighbor told me what the dog caught the mouse in full view of the neighbors yesterday,7
 caught,9.603219,4,My neighbor told me what the dog caught the mouse in full view of the neighbors yesterday,8
 the,4.5226555,4,My neighbor told me what the dog caught the mouse in full view of the neighbors yesterday,9
 mouse,7.044709,4,My neighbor told me what the dog caught the mouse in full view of the neighbors yesterday,10
 in,2.0647175,4,My neighbor told me what the dog caught the mouse in full view of the neighbors yesterday,11
 full,9.484032,4,My neighbor told me what the dog caught the mouse in full view of the neighbors yesterday,12
 view,1.4889483,4,My neighbor told me what the dog caught the mouse in full view of the neighbors yesterday,13
 of,0.36653432,4,My neighbor told me what the dog caught the mouse in full view of the neighbors yesterday,14
 the,0.9957265,4,My neighbor told me what the dog caught the mouse in full view of the neighbors yesterday,15
 neighbors,3.2165997,4,My neighbor told me what the dog caught the mouse in full view of the neighbors yesterday,16
 yesterday,7.089555,4,My neighbor told me what the dog caught the mouse in full view of the neighbors yesterday,17
My,-0,5,My neighbor told me that the dog caught the mouse in full view of the neighbors yesterday,1
 neighbor,7.7017884,5,My neighbor told me that the dog caught the mouse in full view of the neighbors yesterday,2
 told,4.080801,5,My neighbor told me that the dog caught the mouse in full view of the neighbors yesterday,3
 me,0.092867695,5,My neighbor told me that the dog caught the mouse in full view of the neighbors yesterday,4
 that,1.2733972,5,My neighbor told me that the dog caught the mouse in full view of the neighbors yesterday,5
 the,2.190755,5,My neighbor told me that the dog caught the mouse in full view of the neighbors yesterday,6
 dog,5.3148537,5,My neighbor told me that the dog caught the mouse in full view of the neighbors yesterday,7
 caught,7.484656,5,My neighbor told me that the dog caught the mouse in full view of the neighbors yesterday,8
 the,2.0113187,5,My neighbor told me that the dog caught the mouse in full view of the neighbors yesterday,9
 mouse,5.63487,5,My neighbor told me that the dog caught the mouse in full view of the neighbors yesterday,10
 in,2.112993,5,My neighbor told me that the dog caught the mouse in full view of the neighbors yesterday,11
 full,9.361628,5,My neighbor told me that the dog caught the mouse in full view of the neighbors yesterday,12
 view,1.2966564,5,My neighbor told me that the dog caught the mouse in full view of the neighbors yesterday,13
 of,0.17463766,5,My neighbor told me that the dog caught the mouse in full view of the neighbors yesterday,14
 the,0.91821647,5,My neighbor told me that the dog caught the mouse in full view of the neighbors yesterday,15
 neighbors,4.1823864,5,My neighbor told me that the dog caught the mouse in full view of the neighbors yesterday,16
 yesterday,7.1982193,5,My neighbor told me that the dog caught the mouse in full view of the neighbors yesterday,17
My,-0,6,My neighbor told me what the dog caught in full view of the neighbors yesterday,1
 neighbor,7.701686,6,My neighbor told me what the dog caught in full view of the neighbors yesterday,2
 told,4.0810323,6,My neighbor told me what the dog caught in full view of the neighbors yesterday,3
 me,0.09231047,6,My neighbor told me what the dog caught in full view of the neighbors yesterday,4
 what,4.338498,6,My neighbor told me what the dog caught in full view of the neighbors yesterday,5
 the,3.9392917,6,My neighbor told me what the dog caught in full view of the neighbors yesterday,6
 dog,4.794096,6,My neighbor told me what the dog caught in full view of the neighbors yesterday,7
 caught,9.5988455,6,My neighbor told me what the dog caught in full view of the neighbors yesterday,8
 in,1.821988,6,My neighbor told me what the dog caught in full view of the neighbors yesterday,9
 full,11.997593,6,My neighbor told me what the dog caught in full view of the neighbors yesterday,10
 view,1.5970672,6,My neighbor told me what the dog caught in full view of the neighbors yesterday,11
 of,0.5977838,6,My neighbor told me what the dog caught in full view of the neighbors yesterday,12
 the,1.1969192,6,My neighbor told me what the dog caught in full view of the neighbors yesterday,13
 neighbors,2.9477284,6,My neighbor told me what the dog caught in full view of the neighbors yesterday,14
 yesterday,5.9711237,6,My neighbor told me what the dog caught in full view of the neighbors yesterday,15
My,-0,7,My neighbor told me that the dog caught in full view of the neighbors yesterday,1
 neighbor,7.70189,7,My neighbor told me that the dog caught in full view of the neighbors yesterday,2
 told,4.07882,7,My neighbor told me that the dog caught in full view of the neighbors yesterday,3
 me,0.093729466,7,My neighbor told me that the dog caught in full view of the neighbors yesterday,4
 that,1.2707019,7,My neighbor told me that the dog caught in full view of the neighbors yesterday,5
 the,2.1900501,7,My neighbor told me that the dog caught in full view of the neighbors yesterday,6
 dog,5.3256874,7,My neighbor told me that the dog caught in full view of the neighbors yesterday,7
 caught,7.490259,7,My neighbor told me that the dog caught in full view of the neighbors yesterday,8
 in,3.7588713,7,My neighbor told me that the dog caught in full view of the neighbors yesterday,9
 full,12.3335085,7,My neighbor told me that the dog caught in full view of the neighbors yesterday,10
 view,2.975132,7,My neighbor told me that the dog caught in full view of the neighbors yesterday,11
 of,0.6515976,7,My neighbor told me that the dog caught in full view of the neighbors yesterday,12
 the,1.1588742,7,My neighbor told me that the dog caught in full view of the neighbors yesterday,13
 neighbors,2.9105458,7,My neighbor told me that the dog caught in full view of the neighbors yesterday,14
 yesterday,7.2601533,7,My neighbor told me that the dog caught in full view of the neighbors yesterday,15
I,-0,8,I know what the committee delivered the report to the president by the deadline,1
 know,4.26282,8,I know what the committee delivered the report to the president by the deadline,2
 what,2.7901483,8,I know what the committee delivered the report to the president by the deadline,3
 the,3.6339004,8,I know what the committee delivered the report to the president by the deadline,4
 committee,7.7591653,8,I know what the committee delivered the report to the president by the deadline,5
 delivered,11.434228,8,I know what the committee delivered the report to the president by the deadline,6
 the,5.195028,8,I know what the committee delivered the report to the president by the deadline,7
 report,2.157939,8,I know what the committee delivered the report to the president by the deadline,8
 to,1.8186411,8,I know what the committee delivered the report to the president by the deadline,9
 the,0.90553427,8,I know what the committee delivered the report to the president by the deadline,10
 president,2.600574,8,I know what the committee delivered the report to the president by the deadline,11
 by,7.2513046,8,I know what the committee delivered the report to the president by the deadline,12
 the,1.279231,8,I know what the committee delivered the report to the president by the deadline,13
 deadline,1.9850909,8,I know what the committee delivered the report to the president by the deadline,14
I,-0,9,I know that the committee delivered the report to the president by the deadline,1
 know,4.262937,9,I know that the committee delivered the report to the president by the deadline,2
 that,2.393153,9,I know that the committee delivered the report to the president by the deadline,3
 the,2.930988,9,I know that the committee delivered the report to the president by the deadline,4
 committee,7.703597,9,I know that the committee delivered the report to the president by the deadline,5
 delivered,11.225328,9,I know that the committee delivered the report to the president by the deadline,6
 the,1.9901267,9,I know that the committee delivered the report to the president by the deadline,7
 report,1.4075366,9,I know that the committee delivered the report to the president by the deadline,8
 to,1.1575835,9,I know that the committee delivered the report to the president by the deadline,9
 the,0.4614625,9,I know that the committee delivered the report to the president by the deadline,10
 president,2.8249207,9,I know that the committee delivered the report to the president by the deadline,11
 by,5.986321,9,I know that the committee delivered the report to the president by the deadline,12
 the,1.8222901,9,I know that the committee delivered the report to the president by the deadline,13
 deadline,2.0181935,9,I know that the committee delivered the report to the president by the deadline,14
I,-0,10,I know what the committee delivered to the president by the deadline,1
 know,4.2628355000000004,10,I know what the committee delivered to the president by the deadline,2
 what,2.788384,10,I know what the committee delivered to the president by the deadline,3
 the,3.6282709,10,I know what the committee delivered to the president by the deadline,4
 committee,7.759215,10,I know what the committee delivered to the president by the deadline,5
 delivered,11.436648,10,I know what the committee delivered to the president by the deadline,6
 to,1.6253718,10,I know what the committee delivered to the president by the deadline,7
 the,1.063764,10,I know what the committee delivered to the president by the deadline,8
 president,2.9400504,10,I know what the committee delivered to the president by the deadline,9
 by,7.198321,10,I know what the committee delivered to the president by the deadline,10
 the,0.99668574,10,I know what the committee delivered to the president by the deadline,11
 deadline,2.1039716999999998,10,I know what the committee delivered to the president by the deadline,12
I,-0,11,I know that the committee delivered to the president by the deadline,1
 know,4.262996,11,I know that the committee delivered to the president by the deadline,2
 that,2.392272,11,I know that the committee delivered to the president by the deadline,3
 the,2.9334278,11,I know that the committee delivered to the president by the deadline,4
 committee,7.70839,11,I know that the committee delivered to the president by the deadline,5
 delivered,11.2186,11,I know that the committee delivered to the president by the deadline,6
 to,3.0485244,11,I know that the committee delivered to the president by the deadline,7
 the,0.7937064,11,I know that the committee delivered to the president by the deadline,8
 president,3.4162667,11,I know that the committee delivered to the president by the deadline,9
 by,6.727463,11,I know that the committee delivered to the president by the deadline,10
 the,0.71056104,11,I know that the committee delivered to the president by the deadline,11
 deadline,2.964834,11,I know that the committee delivered to the president by the deadline,12
You,-0,12,You remember what the businessman showed the presentation to the visitors after lunch,1
 remember,6.9396224,12,You remember what the businessman showed the presentation to the visitors after lunch,2
 what,2.7200484,12,You remember what the businessman showed the presentation to the visitors after lunch,3
 the,3.1508482,12,You remember what the businessman showed the presentation to the visitors after lunch,4
 businessman,11.446407,12,You remember what the businessman showed the presentation to the visitors after lunch,5
 showed,7.6986756,12,You remember what the businessman showed the presentation to the visitors after lunch,6
 the,3.4910953,12,You remember what the businessman showed the presentation to the visitors after lunch,7
 presentation,11.276907,12,You remember what the businessman showed the presentation to the visitors after lunch,8
 to,1.396182,12,You remember what the businessman showed the presentation to the visitors after lunch,9
 the,1.1359037,12,You remember what the businessman showed the presentation to the visitors after lunch,10
 visitors,6.948163,12,You remember what the businessman showed the presentation to the visitors after lunch,11
 after,6.647474,12,You remember what the businessman showed the presentation to the visitors after lunch,12
 lunch,3.6640294,12,You remember what the businessman showed the presentation to the visitors after lunch,13
You,-0,13,You remember that the businessman showed the presentation to the visitors after lunch,1
 remember,6.9389563,13,You remember that the businessman showed the presentation to the visitors after lunch,2
 that,1.9006349,13,You remember that the businessman showed the presentation to the visitors after lunch,3
 the,4.5149994,13,You remember that the businessman showed the presentation to the visitors after lunch,4
 businessman,11.154852,13,You remember that the businessman showed the presentation to the visitors after lunch,5
 showed,7.3679476,13,You remember that the businessman showed the presentation to the visitors after lunch,6
 the,2.4960759,13,You remember that the businessman showed the presentation to the visitors after lunch,7
 presentation,8.765835,13,You remember that the businessman showed the presentation to the visitors after lunch,8
 to,1.0659871,13,You remember that the businessman showed the presentation to the visitors after lunch,9
 the,1.1489908,13,You remember that the businessman showed the presentation to the visitors after lunch,10
 visitors,7.255698,13,You remember that the businessman showed the presentation to the visitors after lunch,11
 after,5.4533844,13,You remember that the businessman showed the presentation to the visitors after lunch,12
 lunch,2.5759876,13,You remember that the businessman showed the presentation to the visitors after lunch,13
You,-0,14,You remember what the businessman showed to the visitors after lunch,1
 remember,6.9395027,14,You remember what the businessman showed to the visitors after lunch,2
 what,2.7209833,14,You remember what the businessman showed to the visitors after lunch,3
 the,3.1541305,14,You remember what the businessman showed to the visitors after lunch,4
 businessman,11.436466,14,You remember what the businessman showed to the visitors after lunch,5
 showed,7.6932993,14,You remember what the businessman showed to the visitors after lunch,6
 to,4.417011,14,You remember what the businessman showed to the visitors after lunch,7
 the,1.0890517,14,You remember what the businessman showed to the visitors after lunch,8
 visitors,6.693752,14,You remember what the businessman showed to the visitors after lunch,9
 after,5.8190913,14,You remember what the businessman showed to the visitors after lunch,10
 lunch,3.167822,14,You remember what the businessman showed to the visitors after lunch,11
You,-0,15,You remember that the businessman showed to the visitors after lunch,1
 remember,6.938547,15,You remember that the businessman showed to the visitors after lunch,2
 that,1.9052275,15,You remember that the businessman showed to the visitors after lunch,3
 the,4.5177436,15,You remember that the businessman showed to the visitors after lunch,4
 businessman,11.152572,15,You remember that the businessman showed to the visitors after lunch,5
 showed,7.379099,15,You remember that the businessman showed to the visitors after lunch,6
 to,5.8315187,15,You remember that the businessman showed to the visitors after lunch,7
 the,1.7273656,15,You remember that the businessman showed to the visitors after lunch,8
 visitors,5.8480167,15,You remember that the businessman showed to the visitors after lunch,9
 after,7.9009714,15,You remember that the businessman showed to the visitors after lunch,10
 lunch,3.9670618,15,You remember that the businessman showed to the visitors after lunch,11
She,-0,16,She told me what the star student stole answers to the test from the history teacher last year,1
 told,4.937282,16,She told me what the star student stole answers to the test from the history teacher last year,2
 me,1.1524636,16,She told me what the star student stole answers to the test from the history teacher last year,3
 what,4.1508145,16,She told me what the star student stole answers to the test from the history teacher last year,4
 the,3.7202833,16,She told me what the star student stole answers to the test from the history teacher last year,5
 star,9.098563,16,She told me what the star student stole answers to the test from the history teacher last year,6
 student,8.625963,16,She told me what the star student stole answers to the test from the history teacher last year,7
 stole,9.714466,16,She told me what the star student stole answers to the test from the history teacher last year,8
 answers,11.670211,16,She told me what the star student stole answers to the test from the history teacher last year,9
 to,1.568638,16,She told me what the star student stole answers to the test from the history teacher last year,10
 the,1.3435265,16,She told me what the star student stole answers to the test from the history teacher last year,11
 test,1.2191626,16,She told me what the star student stole answers to the test from the history teacher last year,12
 from,1.2589396,16,She told me what the star student stole answers to the test from the history teacher last year,13
 the,1.3235712,16,She told me what the star student stole answers to the test from the history teacher last year,14
 history,9.161474,16,She told me what the star student stole answers to the test from the history teacher last year,15
 teacher,0.8669624,16,She told me what the star student stole answers to the test from the history teacher last year,16
 last,6.680625,16,She told me what the star student stole answers to the test from the history teacher last year,17
 year,0.75039023,16,She told me what the star student stole answers to the test from the history teacher last year,18
She,-0,17,She told me that the star student stole answers to the test from the history teacher last year,1
 told,4.937283,17,She told me that the star student stole answers to the test from the history teacher last year,2
 me,1.1607302,17,She told me that the star student stole answers to the test from the history teacher last year,3
 that,1.5300925,17,She told me that the star student stole answers to the test from the history teacher last year,4
 the,2.6849623,17,She told me that the star student stole answers to the test from the history teacher last year,5
 star,8.984337,17,She told me that the star student stole answers to the test from the history teacher last year,6
 student,7.954437,17,She told me that the star student stole answers to the test from the history teacher last year,7
 stole,8.935194,17,She told me that the star student stole answers to the test from the history teacher last year,8
 answers,5.8066134,17,She told me that the star student stole answers to the test from the history teacher last year,9
 to,1.723784,17,She told me that the star student stole answers to the test from the history teacher last year,10
 the,1.3061292,17,She told me that the star student stole answers to the test from the history teacher last year,11
 test,1.2313149,17,She told me that the star student stole answers to the test from the history teacher last year,12
 from,0.85252357,17,She told me that the star student stole answers to the test from the history teacher last year,13
 the,1.2110124,17,She told me that the star student stole answers to the test from the history teacher last year,14
 history,9.127384,17,She told me that the star student stole answers to the test from the history teacher last year,15
 teacher,0.98042744,17,She told me that the star student stole answers to the test from the history teacher last year,16
 last,7.3772755,17,She told me that the star student stole answers to the test from the history teacher last year,17
 year,0.64655924,17,She told me that the star student stole answers to the test from the history teacher last year,18
She,-0,18,She told me what the star student stole from the history teacher last year,1
 told,4.9375143,18,She told me what the star student stole from the history teacher last year,2
 me,1.1531329,18,She told me what the star student stole from the history teacher last year,3
 what,4.15254,18,She told me what the star student stole from the history teacher last year,4
 the,3.724967,18,She told me what the star student stole from the history teacher last year,5
 star,9.096482,18,She told me what the star student stole from the history teacher last year,6
 student,8.608966,18,She told me what the star student stole from the history teacher last year,7
 stole,9.74326,18,She told me what the star student stole from the history teacher last year,8
 from,1.0147061,18,She told me what the star student stole from the history teacher last year,9
 the,1.0230765,18,She told me what the star student stole from the history teacher last year,10
 history,6.996286,18,She told me what the star student stole from the history teacher last year,11
 teacher,0.8085693,18,She told me what the star student stole from the history teacher last year,12
 last,5.5384374,18,She told me what the star student stole from the history teacher last year,13
 year,1.7640635,18,She told me what the star student stole from the history teacher last year,14
She,-0,19,She told me that the star student stole from the history teacher last year,1
 told,4.937591,19,She told me that the star student stole from the history teacher last year,2
 me,1.1573522,19,She told me that the star student stole from the history teacher last year,3
 that,1.5303898,19,She told me that the star student stole from the history teacher last year,4
 the,2.6804218,19,She told me that the star student stole from the history teacher last year,5
 star,8.988072,19,She told me that the star student stole from the history teacher last year,6
 student,7.9497986,19,She told me that the star student stole from the history teacher last year,7
 stole,8.913742,19,She told me that the star student stole from the history teacher last year,8
 from,3.7046332,19,She told me that the star student stole from the history teacher last year,9
 the,1.4453882,19,She told me that the star student stole from the history teacher last year,10
 history,9.253021,19,She told me that the star student stole from the history teacher last year,11
 teacher,0.55577,19,She told me that the star student stole from the history teacher last year,12
 last,5.790849,19,She told me that the star student stole from the history teacher last year,13
 year,1.0082748,19,She told me that the star student stole from the history teacher last year,14
She,-0,20,She knows what the collector forged the painting with the help of a new technology a short while ago,1
 knows,5.945166,20,She knows what the collector forged the painting with the help of a new technology a short while ago,2
 what,2.398171,20,She knows what the collector forged the painting with the help of a new technology a short while ago,3
 the,3.7584467,20,She knows what the collector forged the painting with the help of a new technology a short while ago,4
 collector,11.783095,20,She knows what the collector forged the painting with the help of a new technology a short while ago,5
 forged,13.903501,20,She knows what the collector forged the painting with the help of a new technology a short while ago,6
 the,4.610007,20,She knows what the collector forged the painting with the help of a new technology a short while ago,7
 painting,4.804519,20,She knows what the collector forged the painting with the help of a new technology a short while ago,8
 with,2.045772,20,She knows what the collector forged the painting with the help of a new technology a short while ago,9
 the,3.4427214,20,She knows what the collector forged the painting with the help of a new technology a short while ago,10
 help,2.6897247,20,She knows what the collector forged the painting with the help of a new technology a short while ago,11
 of,0.032287113,20,She knows what the collector forged the painting with the help of a new technology a short while ago,12
 a,2.0408561,20,She knows what the collector forged the painting with the help of a new technology a short while ago,13
 new,5.8873644,20,She knows what the collector forged the painting with the help of a new technology a short while ago,14
 technology,2.934,20,She knows what the collector forged the painting with the help of a new technology a short while ago,15
 a,7.461462,20,She knows what the collector forged the painting with the help of a new technology a short while ago,16
 short,6.2490745,20,She knows what the collector forged the painting with the help of a new technology a short while ago,17
 while,2.473686,20,She knows what the collector forged the painting with the help of a new technology a short while ago,18
 ago,0.17676204,20,She knows what the collector forged the painting with the help of a new technology a short while ago,19
She,-0,21,She knows that the collector forged the painting with the help of a new technology a short while ago,1
 knows,5.9455614,21,She knows that the collector forged the painting with the help of a new technology a short while ago,2
 that,2.388745,21,She knows that the collector forged the painting with the help of a new technology a short while ago,3
 the,2.6352284,21,She knows that the collector forged the painting with the help of a new technology a short while ago,4
 collector,11.506789,21,She knows that the collector forged the painting with the help of a new technology a short while ago,5
 forged,12.982652,21,She knows that the collector forged the painting with the help of a new technology a short while ago,6
 the,1.1575937,21,She knows that the collector forged the painting with the help of a new technology a short while ago,7
 painting,3.1086211,21,She knows that the collector forged the painting with the help of a new technology a short while ago,8
 with,4.697805,21,She knows that the collector forged the painting with the help of a new technology a short while ago,9
 the,0.95991117,21,She knows that the collector forged the painting with the help of a new technology a short while ago,10
 help,1.7117647,21,She knows that the collector forged the painting with the help of a new technology a short while ago,11
 of,0.009833503,21,She knows that the collector forged the painting with the help of a new technology a short while ago,12
 a,1.6468185,21,She knows that the collector forged the painting with the help of a new technology a short while ago,13
 new,6.7380347,21,She knows that the collector forged the painting with the help of a new technology a short while ago,14
 technology,3.1909165,21,She knows that the collector forged the painting with the help of a new technology a short while ago,15
 a,8.398074,21,She knows that the collector forged the painting with the help of a new technology a short while ago,16
 short,5.9083195,21,She knows that the collector forged the painting with the help of a new technology a short while ago,17
 while,1.3236338,21,She knows that the collector forged the painting with the help of a new technology a short while ago,18
 ago,0.2777223,21,She knows that the collector forged the painting with the help of a new technology a short while ago,19
She,-0,22,She knows what the collector forged with the help of a new technology a short while ago,1
 knows,5.9452724,22,She knows what the collector forged with the help of a new technology a short while ago,2
 what,2.4002469,22,She knows what the collector forged with the help of a new technology a short while ago,3
 the,3.7605116,22,She knows what the collector forged with the help of a new technology a short while ago,4
 collector,11.786311,22,She knows what the collector forged with the help of a new technology a short while ago,5
 forged,13.85838,22,She knows what the collector forged with the help of a new technology a short while ago,6
 with,4.917464,22,She knows what the collector forged with the help of a new technology a short while ago,7
 the,1.3856665,22,She knows what the collector forged with the help of a new technology a short while ago,8
 help,3.769101,22,She knows what the collector forged with the help of a new technology a short while ago,9
 of,0.010892634,22,She knows what the collector forged with the help of a new technology a short while ago,10
 a,2.598033,22,She knows what the collector forged with the help of a new technology a short while ago,11
 new,6.207838,22,She knows what the collector forged with the help of a new technology a short while ago,12
 technology,4.7989187,22,She knows what the collector forged with the help of a new technology a short while ago,13
 a,7.411192,22,She knows what the collector forged with the help of a new technology a short while ago,14
 short,5.6631727,22,She knows what the collector forged with the help of a new technology a short while ago,15
 while,2.0337415,22,She knows what the collector forged with the help of a new technology a short while ago,16
 ago,0.1851164,22,She knows what the collector forged with the help of a new technology a short while ago,17
She,-0,23,She knows that the collector forged with the help of a new technology a short while ago,1
 knows,5.945166,23,She knows that the collector forged with the help of a new technology a short while ago,2
 that,2.3909488,23,She knows that the collector forged with the help of a new technology a short while ago,3
 the,2.637713,23,She knows that the collector forged with the help of a new technology a short while ago,4
 collector,11.514135,23,She knows that the collector forged with the help of a new technology a short while ago,5
 forged,12.9819975,23,She knows that the collector forged with the help of a new technology a short while ago,6
 with,8.311317,23,She knows that the collector forged with the help of a new technology a short while ago,7
 the,1.664765,23,She knows that the collector forged with the help of a new technology a short while ago,8
 help,3.1081204,23,She knows that the collector forged with the help of a new technology a short while ago,9
 of,0.013911996,23,She knows that the collector forged with the help of a new technology a short while ago,10
 a,2.196022,23,She knows that the collector forged with the help of a new technology a short while ago,11
 new,6.2970576,23,She knows that the collector forged with the help of a new technology a short while ago,12
 technology,3.728078,23,She knows that the collector forged with the help of a new technology a short while ago,13
 a,3.4134634,23,She knows that the collector forged with the help of a new technology a short while ago,14
 short,8.12175,23,She knows that the collector forged with the help of a new technology a short while ago,15
 while,4.1955166,23,She knows that the collector forged with the help of a new technology a short while ago,16
 ago,0.18337606,23,She knows that the collector forged with the help of a new technology a short while ago,17
We,-0,24,We all remember what the convict brought a gun into the prison two weeks ago,1
 all,5.2251296,24,We all remember what the convict brought a gun into the prison two weeks ago,2
 remember,4.8366227,24,We all remember what the convict brought a gun into the prison two weeks ago,3
 what,3.049821,24,We all remember what the convict brought a gun into the prison two weeks ago,4
 the,3.4201260000000002,24,We all remember what the convict brought a gun into the prison two weeks ago,5
 convict,13.162937,24,We all remember what the convict brought a gun into the prison two weeks ago,6
 brought,7.756313,24,We all remember what the convict brought a gun into the prison two weeks ago,7
 a,6.10078,24,We all remember what the convict brought a gun into the prison two weeks ago,8
 gun,4.109393,24,We all remember what the convict brought a gun into the prison two weeks ago,9
 into,2.156233,24,We all remember what the convict brought a gun into the prison two weeks ago,10
 the,0.6553546,24,We all remember what the convict brought a gun into the prison two weeks ago,11
 prison,1.9814748,24,We all remember what the convict brought a gun into the prison two weeks ago,12
 two,8.448229,24,We all remember what the convict brought a gun into the prison two weeks ago,13
 weeks,1.5025223,24,We all remember what the convict brought a gun into the prison two weeks ago,14
 ago,0.1841116,24,We all remember what the convict brought a gun into the prison two weeks ago,15
We,-0,25,We all remember that the convict brought a gun into the prison two weeks ago,1
 all,5.2248106,25,We all remember that the convict brought a gun into the prison two weeks ago,2
