token	logprob	sentence_id
		
 history	-9.127384	17
		
 teacher	-0.98042744	17
		
 last	-7.3772755	17
		
 year	-0.64655924	17
		
.	-0.97029144	17
		
She		18
		
 told	-4.9375143	18
		
 me	-1.1531329	18
		
 what	-4.15254	18
		
 the	-3.724967	18
		
 star	-9.096482	18
		
 student	-8.608966	18
		
 stole	-9.74326	18
		
 from	-1.0147061	18
		
 the	-1.0230765	18
		
 history	-6.996286	18
		
 teacher	-0.8085693	18
		
 last	-5.5384374	18
		
 year	-1.7640635	18
		
.	-0.9231915	18
		
She		19
		
 told	-4.937591	19
		
 me	-1.1573522	19
		
 that	-1.5303898	19
		
 the	-2.6804218	19
		
 star	-8.988072	19
		
 student	-7.9497986	19
		
 stole	-8.913742	19
		
 from	-3.7046332	19
		
 the	-1.4453882	19
		
 history	-9.253021	19
		
 teacher	-0.55577	19
		
 last	-5.790849	19
		
 year	-1.0082748	19
		
.	-1.1460946	19
		
She		20
		
 knows	-5.945166	20
		
 what	-2.398171	20
		
 the	-3.7584467	20
		
 collector	-11.783095	20
		
 forged	-13.903501	20
		
 the	-4.610007	20
		
 painting	-4.804519	20
		
 with	-2.045772	20
		
 the	-3.4427214	20
		
 help	-2.6897247	20
		
 of	-0.032287113	20
		
 a	-2.0408561	20
		
 new	-5.8873644	20
		
 technology	-2.934	20
		
 a	-7.461462	20
		
 short	-6.2490745	20
		
 while	-2.473686	20
		
 ago	-0.17676204	20
		
.	-0.6879537	20
		
She		21
		
 knows	-5.9455614	21
		
 that	-2.388745	21
		
 the	-2.6352284	21
		
 collector	-11.506789	21
		
 forged	-12.982652	21
		
 the	-1.1575937	21
		
 painting	-3.1086211	21
		
 with	-4.697805	21
		
 the	-0.95991117	21
		
 help	-1.7117647	21
		
 of	-0.009833503	21
		
 a	-1.6468185	21
		
 new	-6.7380347	21
		
 technology	-3.1909165	21
		
 a	-8.398074	21
		
 short	-5.9083195	21
		
 while	-1.3236338	21
		
 ago	-0.2777223	21
		
.	-0.7098245	21
		
She		22
		
 knows	-5.9452724	22
		
 what	-2.4002469	22
		
 the	-3.7605116	22
		
 collector	-11.786311	22
		
 forged	-13.85838	22
		
 with	-4.917464	22
		
 the	-1.3856665	22
		
 help	-3.769101	22
		
 of	-0.010892634	22
		
 a	-2.598033	22
		
 new	-6.207838	22
		
 technology	-4.7989187	22
		
 a	-7.411192	22
		
 short	-5.6631727	22
		
 while	-2.0337415	22
		
 ago	-0.1851164	22
		
.	-0.7342021	22
		
She		23
		
 knows	-5.945166	23
		
 that	-2.3909488	23
		
 the	-2.637713	23
		
 collector	-11.514135	23
		
 forged	-12.9819975	23
		
 with	-8.311317	23
		
 the	-1.664765	23
		
 help	-3.1081204	23
		
 of	-0.013911996	23
		
 a	-2.196022	23
		
 new	-6.2970576	23
		
 technology	-3.728078	23
		
 a	-3.4134634	23
		
 short	-8.12175	23
		
 while	-4.1955166	23
		
 ago	-0.18337606	23
		
.	-1.0770648	23
		
We		24
		
 all	-5.2251296	24
		
 remember	-4.8366227	24
		
 what	-3.049821	24
		
 the	-3.420126	24
		
 convict	-13.162937	24
		
 brought	-7.756313	24
		
 a	-6.10078	24
		
 gun	-4.109393	24
		
 into	-2.156233	24
		
 the	-0.6553546	24
		
 prison	-1.9814748	24
		
 two	-8.448229	24
		
 weeks	-1.5025223	24
		
 ago	-0.1841116	24
		
.	-1.0884501	24
		
We		25
		
 all	-5.2248106	25
		
 remember	-4.8292413	25
		
 that	-2.4789367	25
		
 the	-3.0161514	25
		
 convict	-12.841646	25
		
 brought	-7.5867825	25
		
 a	-3.069733	25
		
 gun	-2.5524926	25
		
 into	-1.6331223	25
		
 the	-0.54747695	25
		
 prison	-1.3950493	25
		
 two	-8.364915	25
		
 weeks	-1.3536214	25
		
 ago	-0.2527781	25
		
.	-1.0968354	25
		
We		26
		
 all	-5.223874	26
		
 remember	-4.8310723	26
		
 what	-3.0486305	26
		
 the	-3.4199622	26
		
 convict	-13.15938	26
		
 brought	-7.756218	26
		
 into	-2.87698	26
		
 the	-0.74130833	26
		
 prison	-3.4890413	26
		
 two	-7.483984	26
		
 weeks	-1.6962752	26
		
 ago	-0.24361418	26
		
.	-0.96627647	26
		
We		27
		
 all	-5.224582	27
		
 remember	-4.8296256	27
		
 that	-2.4785354	27
		
 the	-3.0144792	27
		
 convict	-12.837114	27
		
 brought	-7.587562	27
		
 into	-3.589438	27
		
 the	-0.7560924	27
		
 prison	-3.509621	27
		
 two	-6.2142773	27
		
 weeks	-5.012346	27
		
 ago	-0.49149895	27
		
.	-3.618315	27
		
My		28
		
 friend	-4.252096	28
		
 reported	-8.935482	28
		
 what	-5.3509917	28
		
 the	-3.2172823	28
		
 company	-6.374577	28
		
 will	-7.7035356	28
		
 sell	-6.4798675	28
		
 multiple	-9.960363	28
		
 assets	-6.770005	28
		
 to	-1.7621005	28
		
 benefit	-7.3524523	28
		
 stock	-7.4423313	28
		
 holders	-3.1146073	28
		
 over	-5.285882	28
		
 the	-1.2490612	28
		
 subsequent	-11.180758	28
		
 quarter	-4.4211025	28
		
.	-0.7061088	28
		
My		29
		
 friend	-4.2516284	29
		
 reported	-8.937	29
		
 that	-1.0263407	29
		
 the	-1.6704779	29
		
 company	-6.0290303	29
		
 will	-5.080061	29
		
 sell	-5.0563693	29
		
 multiple	-8.500615	29
		
 assets	-5.6335754	29
		
 to	-1.8675479	29
		
 benefit	-7.947651	29
		
 stock	-6.74938	29
		
 holders	-2.3295686	29
		
 over	-5.8036585	29
		
 the	-1.200291	29
		
 subsequent	-10.291165	29
		
 quarter	-4.481051	29
		
.	-0.7367235	29
		
My		30
		
 friend	-4.2511015	30
		
 reported	-8.935997	30
		
 what	-5.3536954	30
		
 the	-3.2250922	30
		
 company	-6.365374	30
		
 will	-7.7150145	30
		
 sell	-6.472182	30
		
 to	-2.6928177	30
		
 benefit	-9.053742	30
		
 stock	-8.23432	30
		
 holders	-2.6771355	30
		
 over	-5.279771	30
		
 the	-1.0679979	30
		
 subsequent	-11.98546	30
		
 quarter	-3.8345666	30
		
.	-0.9344201	30
		
My		31
		
 friend	-4.251567	31
		
 reported	-8.937898	31
		
 that	-1.0259985	31
		
 the	-1.66931	31
		
 company	-6.0345206	31
		
 will	-5.077249	31
		
 sell	-5.059434	31
		
 to	-5.1385307	31
		
 benefit	-9.403825	31
		
 stock	-8.389737	31
		
 holders	-2.6973507	31
		
 over	-5.152785	31
		
 the	-1.400565	31
		
 subsequent	-12.397899	31
		
 quarter	-3.5742807	31
		
.	-1.0091205	31
		
I		32
		
 do	-5.357821	32
		
 not	-0.87843335	32
		
 know	-1.8206913	32
		
 what	-1.8643571	32
		
 her	-6.1381907	32
		
 rival	-10.202055	32
		
 derailed	-15.640691	32
		
 the	-3.3940082	32
		
 performance	-7.7446113	32
		
 with	-4.1168056	32
		
 a	-2.1557033	32
		
 cruel	-7.73399	32
		
 plan	-5.3434424	32
		
 last	-9.07398	32
		
 week	-3.1588254	32
		
.	-1.1208999	32
		
I		33
		
 do	-5.3580832	33
		
 not	-0.8786715	33
		
 know	-1.818399	33
		
 that	-3.8800852	33
		
 her	-7.045761	33
		
 rival	-9.060693	33
		
 derailed	-13.9213705	33
		
 the	-1.7212869	33
		
 performance	-9.208467	33
		
 with	-4.8317885	33
		
 a	-1.7219362	33
		
 cruel	-6.5533624	33
		
 plan	-7.0895224	33
		
 last	-9.6876135	33
		
 week	-2.0704982	33
		
.	-1.145819	33
		
I		34
		
 do	-5.358291	34
		
 not	-0.87881154	34
		
 know	-1.8176644	34
		
 what	-1.8653117	34
		
 her	-6.1339464	34
		
 rival	-10.208472	34
		
 derailed	-15.637642	34
		
 with	-4.7272663	34
		
 a	-3.5155265	34
		
 cruel	-7.378694	34
		
 plan	-5.838658	34
		
 last	-7.7482767	34
		
 week	-3.065435	34
		
.	-1.5398557	34
		
I		35
		
 do	-5.3580804	35
		
 not	-0.87756044	35
		
 know	-1.8176147	35
		
 that	-3.8822765	35
		
 her	-7.033983	35
		
 rival	-9.055139	35
		
 derailed	-13.938707	35
		
 with	-7.2374144	35
		
 a	-2.143694	35
		
 cruel	-7.600327	35
		
 plan	-5.1664596	35
		
 last	-9.910283	35
		
 week	-2.2134538	35
		
.	-1.2025595	35
		
She		36
		
 can	-5.414224	36
		
 guess	-8.97275	36
		
 what	-1.6938456	36
		
 the	-2.8529193	36
		
 movie	-7.390876	36
		
 star	-5.750536	36
		
 will	-3.0855417	36
		
 be	-2.0068057	36
		
 awarded	-9.015016	36
		
 a	-5.1253867	36
		
 prize	-3.5912182	36
		
 for	-0.24330212	36
		
 her	-6.7577066	36
		
 hard	-5.947165	36
		
 work	-0.103346445	36
		
 during	-5.4672475	36
		
 the	-0.57493263	36
		
 award	-5.034212	36
		
 ceremony	-0.3316655	36
		
.	-0.69627744	36
		
She		37
		
 can	-5.4145317	37
		
 guess	-8.978531	37
		
 that	-2.4064245	37
		
 the	-2.0493913	37
		
 movie	-7.6751237	37
		
 star	-4.2359347	37
		
 will	-3.6622238	37
		
 be	-1.2318796	37
		
 awarded	-8.207035	37
		
 a	-1.6266205	37
		
 prize	-3.006058	37
		
 for	-1.6534415	37
		
 her	-1.9839826	37
		
 hard	-6.3565073	37
		
 work	-0.07293196	37
		
 during	-5.4845057	37
		
 the	-0.5326718	37
		
 award	-4.1007805	37
		
 ceremony	-0.4287899	37
		
.	-0.7273062	37
		
She		38
		
 can	-5.414673	38
		
 guess	-8.971715	38
		
 what	-1.6917943	38
		
 the	-2.8524227	38
		
 movie	-7.3919187	38
		
 star	-5.7424583	38
		
 will	-3.0819798	38
		
 get	-5.9104114	38
		
 for	-2.604016	38
		
 her	-2.5013084	38
		
 hard	-7.3236413	38
		
 work	-0.16832726	38
		
 during	-7.053644	38
		
 the	-0.6057109	38
		
 award	-4.920408	38
		
 ceremony	-2.3257518	38
		
.	-0.67967474	38
		
She		39
		
 can	-5.414701	39
		
 guess	-8.984164	39
		
 that	-2.4083488	39
		
 the	-2.0488214	39
		
 movie	-7.669602	39
		
 star	-4.2270913	39
		
 will	-3.669544	39
		
 get	-4.0761867	39
		
 for	-9.22492	39
		
 her	-1.9401264	39
		
 hard	-7.0630417	39
		
 work	-0.39672822	39
		
 during	-7.298336	39
		
 the	-0.597903	39
		
 award	-5.474508	39
		
 ceremony	-1.5728561	39
		
.	-0.95982295	39
		
The		40
		
 newspaper	-8.602887	40
		
 reported	-2.6201777	40
		
 who	-11.69135	40
		
 the	-1.9469806	40
		
 suspect	-4.272994	40
		
 killed	-8.375341	40
		
 the	-5.4530163	40
		
 witness	-8.340219	40
		
 with	-2.9454217	40
		
 a	-1.5818275	40
		
 gun	-2.9216142	40
		
 in	-3.2447329	40
		
 the	-1.1956723	40
		
 middle	-4.7400036	40
		
 of	-0.029181043	40
		
 the	-0.3607279	40
		
 night	-2.232129	40
		
.	-1.0210841	40
		
The		41
		
 newspaper	-8.6026745	41
		
 reported	-2.6181989	41
		
 that	-0.4272626	41
		
 the	-1.3837435	41
		
 suspect	-4.8546767	41
		
 killed	-6.346379	41
		
 the	-2.4435313	41
		
 witness	-8.961192	41
		
 with	-3.5103896	41
		
 a	-0.62505543	41
		
 gun	-3.1861038	41
		
 in	-2.933929	41
		
 the	-1.2574242	41
		
 middle	-4.151982	41
		
 of	-0.008648512	41
		
 the	-0.48348486	41
		
 night	-2.9425118	41
		
.	-1.358483	41
		
The		42
		
 newspaper	-8.60261	42
		
 reported	-2.6200864	42
		
 who	-11.714838	42
		
 the	-1.9461471	42
		
 suspect	-4.2912054	42
		
 killed	-8.375175	42
		
 with	-5.372405	42
		
 a	-1.5153143	42
		
 gun	-2.1828532	42
		
 in	-2.9904885	42
		
 the	-1.3358611	42
		
 middle	-6.6366324	42
		
 of	-0.057607204	42
		
 the	-0.6043246	42
		
 night	-1.9096447	42
		
.	-1.3731722	42
		
The		43
		
 newspaper	-8.602626	43
		
 reported	-2.614955	43
		
 that	-0.4271464	43
		
 the	-1.3806957	43
		
 suspect	-4.8674874	43
		
 killed	-6.3389416	43
		
 with	-6.345026	43
		
 a	-1.2672538	43
		
 gun	-3.1539884	43
		
 in	-2.5369084	43
		
 the	-0.97685415	43
		
 middle	-5.552267	43
		
 of	-0.032818574	43
		
 the	-0.49298173	43
		
 night	-2.7697325	43
		
.	-1.746628	43
		
We		44
		
 recall	-9.652162	44
		
 what	-4.767892	44
		
 the	-2.1626396	44
		
 man	-6.182804	44
		
 placed	-10.712037	44
		
 a	-3.8461826	44
		
 delicate	-9.674265	44
		
 plate	-6.0785284	44
		
 next	-5.6863055	44
		
 to	-0.074269354	44
		
 the	-0.84723246	44
		
 open	-6.866695	44
		
 fire	-3.5824199	44
		
 over	-7.470277	44
		
 an	-3.9355807	44
		
 hour	-0.6322348	44
		
 ago	-0.32575047	44
		
.	-0.6507722	44
		
We		45
		
 recall	-9.651808	45
		
 that	-1.083126	45
		
 the	-1.3384969	45
		
 man	-7.673849	45
		
 placed	-8.4079485	45
		
 a	-2.1712859	45
		
 delicate	-10.152439	45
		
 plate	-5.704367	45
		
 next	-6.1788116	45
		
 to	-0.0082255835	45
		
 the	-0.72252697	45
		
 open	-6.3318443	45
		
 fire	-4.19714	45
		
 over	-7.7974906	45
		
 an	-4.4615684	45
		
 hour	-1.1134102	45
		
 ago	-0.42788345	45
		
.	-0.77669364	45
		
We		46
		
 recall	-9.652071	46
		
 what	-4.7729897	46
		
 the	-2.1595216	46
		
 man	-6.172762	46
		
 placed	-10.719453	46
		
 next	-5.5630665	46
		
 to	-0.04866774	46
		
 the	-0.75165915	46
		
 open	-6.6483684	46
		
 fire	-3.337862	46
		
 over	-7.086005	46
		
 an	-4.402154	46
		
 hour	-0.3873018	46
		
 ago	-0.4189676	46
		
.	-0.8460563	46
		
We		47
		
 recall	-9.651498	47
		
 that	-1.086531	47
		
 the	-1.3395641	47
		
 man	-7.672999	47
		
 placed	-8.412617	47
		
 next	-6.206455	47
		
 to	-0.115980946	47
		
 the	-1.147253	47
		
 open	-6.5833645	47
		
 fire	-3.7201936	47
		
 over	-8.228674	47
		
 an	-5.1860986	47
		
 hour	-1.1777201	47
		
 ago	-0.6260298	47
		
.	-2.0223253	47
		
I		48
		
 remember	-6.042389	48
		
 what	-5.142962	48
		
 the	-3.08975	48
		
 nurse	-5.2357564	48
		
 should	-11.340949	48
		
 administer	-9.486118	48
		
 the	-4.551094	48
		
 new	-6.8508267	48
		
 medicine	-2.3077602	48
		
 to	-1.6889703	48
		
 the	-2.2361941	48
		
 sick	-5.1170273	48
		
 patient	-2.342877	48
		
 without	-6.025964	48
		
 any	-2.1513162	48
		
 delay	-3.436598	48
		
.	-0.47369707	48
		
I		49
		
 remember	-6.042528	49
		
 that	-2.8215127	49
		
 the	-3.2771657	49
		
 nurse	-7.0216823	49
		
 should	-9.54918	49
		
 administer	-6.4314246	49
		
 the	-1.140794	49
		
 new	-6.781349	49
		
 medicine	-2.0528495	49
		
 to	-1.6688257	49
		
 the	-1.7296456	49
		
 sick	-5.022278	49
		
 patient	-2.8428524	49
		
 without	-5.4202356	49
		
 any	-2.5940073	49
		
 delay	-1.5904838	49
		
.	-0.6047707	49
		
I		50
		
 remember	-6.0425363	50
		
 what	-5.144276	50
		
 the	-3.0926766	50
		
 nurse	-5.2295117	50
		
 should	-11.378538	50
		
 administer	-9.477257	50
		
 to	-1.3354702	50
		
 the	-1.5551308	50
		
 sick	-4.2057447	50
		
 patient	-3.9343183	50
		
 without	-6.148321	50
		
 any	-3.070045	50
		
 delay	-3.6686523	50
		
.	-0.76245004	50
		
I		51
		
 remember	-6.0426354	51
		
 that	-2.826764	51
		
 the	-3.2716172	51
		
 nurse	-7.0170155	51
		
 should	-9.551232	51
		
 administer	-6.4299583	51
		
 to	-4.3115506	51
		
 the	-1.4134172	51
		
 sick	-3.1152596	51
		
 patient	-5.177995	51
		
 without	-6.9832478	51
		
 any	-2.372718	51
		
 delay	-2.7694056	51
		
.	-1.8632337	51
		
Our		52
		
 friend	-6.700478	52
		
 knew	-7.899302	52
		
 what	-2.9320562	52
		
 the	-3.462559	52
		
 gossip	-9.24674	52
		
 column	-4.79112	52
		
 revealed	-10.388917	52
		
 family	-14.050284	52
		
 secrets	-2.4495957	52
		
 to	-2.6402159	52
		
 the	-1.4459658	52
		
 whole	-2.8614624	52
		
 town	-2.4813955	52
		
 yesterday	-9.772883	52
		
.	-0.91512287	52
		
Our		53
		
 friend	-6.7004533	53
		
 knew	-7.9003825	53
		
 that	-1.9087481	53
		
 the	-1.9763107	53
		
 gossip	-9.742289	53
		
 column	-3.7100184	53
		
 revealed	-10.2107725	53
		
 family	-8.629987	53
		
 secrets	-0.7606078	53
		
 to	-2.4888694	53
		
 the	-0.7531769	53
		
 whole	-2.1426926	53
		
 town	-1.9831047	53
		
 yesterday	-11.32995	53
		
.	-0.81789935	53
		
Our		54
		
 friend	-6.700606	54
		
 knew	-7.8931413	54
		
 what	-2.9318671	54
		
 the	-3.4648957	54
		
 gossip	-9.245918	54
		
 column	-4.8241343	54
		
 revealed	-10.383603	54
		
 to	-3.4733124	54
		
 the	-1.2256441	54
		
 whole	-3.6709237	54
		
 town	-2.7643027	54
		
 yesterday	-5.919169	54
		
.	-1.132863	54
		
Our		55
		
 friend	-6.699839	55
		
 knew	-7.8982387	55
		
 that	-1.9123238	55
		
 the	-1.9801178	55
		
 gossip	-9.742008	55
		
 column	-3.7166023	55
		
 revealed	-10.210217	55
		
 to	-3.6008167	55
		
 the	-1.0699286	55
		
 whole	-3.1550324	55
		
 town	-2.962064	55
		
 yesterday	-8.610923	55
		
.	-4.432043	55
		
The		56
		
 mayor	-8.038162	56
		
 told	-4.8999805	56
		
 me	-2.682526	56
		
 what	-5.0584016	56
		
 the	-3.1506517	56
		
 authorities	-8.280514	56
		
 repaired	-15.749726	56
		
 the	-2.0359447	56
		
 golf	-10.895341	56
		
 course	-0.64794075	56
		
 for	-3.9031868	56
		
 a	-2.8958945	56
		
 wealthy	-10.311741	56
		
 businessman	-2.6689143	56
		
 over	-8.58004	56
		
 the	-1.0406785	56
		
 summer	-2.4391286	56
		
.	-0.85334295	56
		
The		57
		
 mayor	-8.038136	57
		
 told	-4.8954234	57
		
 me	-2.6743717	57
		
 that	-1.3671852	57
		
 the	-2.0350978	57
		
 authorities	-6.856212	57
		
 repaired	-13.149469	57
		
 the	-0.532536	57
		
 golf	-10.363037	57
		
 course	-0.45341575	57
		
 for	-4.453243	57
		
 a	-3.048043	57
		
 wealthy	-8.466875	57
		
 businessman	-2.202616	57
		
 over	-8.345501	57
		
 the	-0.54428923	57
		
 summer	-1.6910161	57
		
.	-1.0639511	57
		
The		58
		
 mayor	-8.038658	58
		
 told	-4.8968725	58
		
 me	-2.6875572	58
		
 what	-5.0560355	58
		
 the	-3.1457171	58
		
 authorities	-8.283615	58
		
 repaired	-15.742222	58
		
 for	-4.844721	58
		
 a	-3.363982	58
		
 wealthy	-10.810351	58
		
 businessman	-3.3016403	58
		
 over	-7.788798	58
		
 the	-1.3211457	58
		
 summer	-3.1325192	58
		
.	-1.1835724	58
		
The		59
		
 mayor	-8.038172	59
		
 told	-4.8929877	59
		
 me	-2.6821363	59
		
 that	-1.3647835	59
		
 the	-2.0361452	59
		
 authorities	-6.861034	59
		
 repaired	-13.171321	59
		
 for	-8.219441	59
		
 a	-2.7781844	59
		
 wealthy	-10.888793	59
		
 businessman	-3.2734585	59
		
 over	-7.7361116	59
		
 the	-1.3034012	59
		
 summer	-3.1526759	59
		
.	-1.1528715	59
		
My		60
		
 friend	-4.2515054	60
		
 remembers	-9.266958	60
		
 what	-5.211936	60
		
 the	-3.1559818	60
		
 government	-6.77492	60
		
 collected	-9.716635	60
		
 sensitive	-12.345539	60
		
 data	-1.9266735	60
		
 about	-1.9977711	60
		
 foreign	-7.6758475	60
		
 threats	-8.665253	60
		
 using	-6.8185277	60
		
 illegal	-5.2813897	60
		
 methods	-1.3527932	60
		
.	-1.0828531	60
		
My		61
		
 friend	-4.2519445	61
		
 remembers	-9.263009	61
		
 that	-2.1622143	61
		
 the	-2.3688161	61
		
 government	-6.997391	61
		
 collected	-7.684735	61
		
 sensitive	-8.706469	61
		
 data	-1.7126893	61
		
 about	-1.9760653	61
		
 foreign	-6.659658	61
		
