token,logprob,offset,line
 what,-4.3365755,19,4
 with,-11.626964,24,4
 skill,-12.998302,29,4
 the,-5.0381093,35,4
 dog,-6.119617,39,4
 caught,-5.7991886,43,4
 the,-0.73308396,50,4
 mouse,-4.9867573,54,4
 for,-6.7896776,60,4
 his,-2.8413746,64,4
 neighbors,-9.035534,68,4
 yesterday,-6.2227063,78,4
 .,-5.75897,88,4
My,,0,5
 neighbor,-7.7019114,2,5
 told,-4.0738873,11,5
 me,-0.094322525,16,5
 that,-1.2729744,19,5
 with,-7.238459,24,5
 skill,-11.03874,29,5
 the,-5.3414526,35,5
 dog,-6.238896,39,5
 caught,-7.4275503,43,5
 the,-1.3127385,50,5
 mouse,-5.4190803,54,5
 for,-5.956142,60,5
 his,-3.4761539,64,5
 neighbors,-9.209593,68,5
 yesterday,-7.1474204,78,5
 .,-5.904576,88,5
My,,0,6
 neighbor,-7.702011,2,6
 told,-4.0779753,11,6
 me,-0.093532704,16,6
 what,-4.3404355,19,6
 with,-11.638706,24,6
 skill,-13.016764,29,6
 the,-5.046108,35,6
 dog,-6.1011267,39,6
 caught,-5.804349,43,6
 for,-7.193011,50,6
 his,-3.0912473,54,6
 neighbors,-7.679361,58,6
 yesterday,-7.283897,68,6
 .,-6.3845434,78,6
My,,0,7
 neighbor,-7.702011,2,7
 told,-4.0779753,11,7
 me,-0.093532704,16,7
 that,-1.271111,19,7
 with,-7.24419,24,7
 skill,-11.038191,29,7
 the,-5.3422995,35,7
 dog,-6.251789,39,7
 caught,-7.4165816,43,7
 for,-6.8596625,50,7
 his,-3.7016537,54,7
 neighbors,-6.3176847,58,7
 yesterday,-7.2387614,68,7
 .,-7.7226896,78,7
I,,0,8
 know,-4.2627997,1,8
 what,-2.7911289,6,8
 with,-11.421365,11,8
 passion,-10.187339,16,8
 the,-5.0038466,24,8
 committee,-10.506708,28,8
 delivered,-10.258408,38,8
 the,-1.9615822,48,8
 report,-2.7392995,52,8
 to,-2.3544745,59,8
 the,-0.5614963,62,8
 president,-3.7310257,66,8
 by,-6.951139,76,8
 the,-1.9552991,79,8
 deadline,-4.195393,83,8
 .,-6.179051,92,8
I,,0,9
 know,-4.2627997,1,9
 that,-2.390471,6,9
 with,-6.4323378,11,9
 passion,-8.629164,16,9
 the,-6.5930414,24,9
 committee,-9.549477,28,9
 delivered,-8.634946,38,9
 the,-2.24286,48,9
 report,-2.0387077,52,9
 to,-2.3328404,59,9
 the,-0.5110228,62,9
 president,-2.9622626,66,9
 by,-6.3808417,76,9
 the,-1.3643134,79,9
 deadline,-1.0197705,83,9
 .,-6.9006667,92,9
I,,0,10
 know,-4.2627997,1,10
 what,-2.7911246,6,10
 with,-11.421367,11,10
 passion,-10.187341,16,10
 the,-5.003846,24,10
 committee,-10.50671,28,10
 delivered,-10.258408,38,10
 to,-2.5705607,48,10
 the,-1.3337955,51,10
 president,-4.3946514,55,10
 by,-6.2957735,65,10
 the,-1.2781277,68,10
 deadline,-6.5405526,72,10
 .,-6.222551,81,10
I,,0,11
 know,-4.2628074,1,11
 that,-2.3909194,6,11
 with,-6.4273667,11,11
 passion,-8.630187,16,11
 the,-6.607489,24,11
 committee,-9.5592375,28,11
 delivered,-8.632866,38,11
 to,-3.760325,48,11
 the,-0.89348465,51,11
 president,-3.72673,55,11
 by,-7.5022736,65,11
 the,-1.1153692,68,11
 deadline,-2.60143,72,11
 .,-6.870104,81,11
You,,0,12
 remember,-6.9393053,3,12
 what,-2.7195225,12,12
 without,-14.193244,17,12
 thinking,-4.096622,25,12
 the,-6.4766574,34,12
 businessman,-12.39359,38,12
 showed,-7.3937607,50,12
 the,-1.9495175,57,12
 presentation,-9.079084,61,12
 to,-2.4210863,74,12
 th,-10.815668,77,12
 e,-4.8113832,80,12
 visitors,-5.2580214,82,12
 after,-6.585914,91,12
 lunch,-4.2189417,97,12
 .,-5.3909073,103,12
You,,0,13
 remember,-6.9393797,3,13
 that,-1.898423,12,13
 without,-9.452562,17,13
 thinking,-4.6339784,25,13
 the,-6.6315336,34,13
 businessman,-12.4522085,38,13
 showed,-7.623202,50,13
 the,-2.020561,57,13
 presentation,-9.778329,61,13
 to,-2.188653,74,13
 the,-1.1140603,77,13
 visitors,-6.002275,81,13
 after,-6.218326,90,13
 lunch,-3.511559,96,13
 .,-7.0281196,102,13
You,,0,14
 remember,-6.9393797,3,14
 what,-2.7204902,12,14
 without,-14.170102,17,14
 thinking,-4.0789638,25,14
 the,-6.4911356,34,14
 businessman,-12.402881,38,14
 showed,-7.377421,50,14
 to,-2.974324,57,14
 the,-1.4650444,60,14
 visitors,-5.841201,64,14
 after,-5.6585374,73,14
 lunch,-4.563169,79,14
 .,-7.6722918,85,14
You,,0,15
 remember,-6.9393797,3,15
 that,-1.898423,12,15
 without,-9.452559,17,15
 thinking,-4.6339803,25,15
 the,-6.631537,34,15
 businessman,-12.452207,38,15
 showed,-7.6231976,50,15
 to,-5.0256233,57,15
 the,-1.4781986,60,15
 visitors,-5.6356087,64,15
 after,-8.307287,73,15
 lunch,-4.606575,79,15
 .,-7.9799995,85,15
She,,0,16
 told,-4.937282,3,16
 me,-1.1524658,8,16
 what,-4.1508136,11,16
 secretly,-14.2348995,16,16
 the,-5.398582,25,16
 star,-7.394721,29,16
 student,-9.002887,34,16
 stole,-9.144185,42,16
 answers,-11.600366,48,16
 to,-2.1579363,56,16
 the,-1.518449,59,16
 test,-1.3673767,63,16
 from,-1.8328656,68,16
 the,-1.2761022,73,16
 teacher,-0.90899646,77,16
 last,-7.7523503,85,16
 year,-1.3055577,90,16
 .,-7.060842,95,16
She,,0,17
 told,-4.9374228,3,17
 me,-1.1579653,8,17
 that,-1.532928,11,17
 secretly,-11.843523,16,17
 the,-4.1736946,25,17
 star,-8.051222,29,17
 student,-7.4054694,34,17
 stole,-8.149943,42,17
 answers,-4.6555667,48,17
 to,-1.6536287,56,17
 the,-1.3218496,59,17
 test,-1.7222356,63,17
 from,-0.98208505,68,17
 the,-1.1929865,73,17
 teacher,-0.81824994,77,17
 last,-8.876264,85,17
 year,-0.8810114,90,17
 .,-7.7362733,95,17
She,,0,18
 told,-4.9378943,3,18
 me,-1.1547552,8,18
 what,-4.151614,11,18
 secretly,-14.244797,16,18
 the,-5.3997693,25,18
 star,-7.4023485,29,18
 student,-8.993899,34,18
 stole,-9.15435,42,18
 from,-1.6702608,48,18
 the,-0.92019707,53,18
 teacher,-1.4640195,57,18
 last,-7.434743,65,18
 year,-2.156335,70,18
 .,-7.108173,75,18
She,,0,19
 told,-4.9378943,3,19
 me,-1.1547552,8,19
 that,-1.531539,11,19
 secretly,-11.852118,16,19
 the,-4.1744027,25,19
 star,-8.047554,29,19
 student,-7.4190817,34,19
 stole,-8.158152,42,19
 from,-3.3448086,48,19
 the,-1.1839576,53,19
 teacher,-2.0204349,57,19
 last,-9.433125,65,19
 year,-0.79863024,70,19
 .,-7.6567826,75,19
She,,0,20
 knows,-5.945322,3,20
 what,-2.4028172,9,20
 with,-11.132496,14,20
 skill,-10.419378,19,20
 the,-4.9807816,25,20
 collector,-10.204504,29,20
 forged,-11.114992,39,20
 the,-4.584335,46,20
 painting,-6.788841,50,20
 with,-4.234,59,20
 a,-2.468834,64,20
 brush,-3.6549206,66,20
 a,-6.251857,72,20
 short,-6.87673,74,20
 while,-1.9244832,80,20
 ago,-0.32887113,86,20
 .,-6.012782,90,20
She,,0,21
 knows,-5.9454193,3,21
 that,-2.3916972,9,21
 with,-5.899452,14,21
 skill,-9.254187,19,21
 the,-6.0436954,25,21
 collector,-10.863831,29,21
 forged,-12.922048,39,21
 the,-1.6943107,46,21
 painting,-4.4681535,50,21
 with,-4.460194,59,21
 a,-2.0803516,64,21
 brush,-3.40609,66,21
 a,-7.0495024,72,21
 short,-7.0553837,74,21
 while,-1.4948108,80,21
 ago,-0.24413905,86,21
 .,-6.8451657,90,21
She,,0,22
 knows,-5.945047,3,22
 what,-2.402254,9,22
 with,-11.13122,14,22
 skill,-10.433427,19,22
 the,-4.9777393,25,22
 collector,-10.21076,29,22
 forged,-11.107454,39,22
 with,-5.890672,46,22
 a,-3.5195875,51,22
 brush,-6.130413,53,22
 a,-6.339554,59,22
 short,-6.330374,61,22
 while,-1.8242944,67,22
 ago,-0.30672094,73,22
 .,-6.118903,77,22
She,,0,23
 knows,-5.945047,3,23
 that,-2.393427,9,23
 with,-5.904294,14,23
 skill,-9.252017,19,23
 the,-6.0474167,25,23
 collector,-10.863252,29,23
 forged,-12.943346,39,23
 with,-5.85374,46,23
 a,-2.8259516,51,23
 brush,-6.591776,53,23
 a,-3.1353016,59,23
 short,-7.3987136,61,23
 while,-3.0844405,67,23
 ago,-0.36007228,73,23
 .,-6.6851354,77,23
We,,0,24
 all,-5.2247896,2,24
 remember,-4.82931,6,24
 what,-3.045951,15,24
 illegally,-16.704521,20,24
 the,-6.9972806,30,24
 convict,-11.314583,34,24
 brought,-7.9282317,42,24
 a,-3.7370505,50,24
 gun,-1.9785771,52,24
 into,-1.4938991,56,24
 the,-0.64787364,61,24
 prison,-1.8541952,65,24
 two,-8.452974,72,24
 weeks,-1.9491836,76,24
 ago,-0.53843963,82,24
 .,-6.8748446,86,24
We,,0,25
 all,-5.2247014,2,25
 remember,-4.8256693,6,25
 that,-2.4792674,15,25
 illegally,-13.827055,20,25
 the,-5.9867964,30,25
 convict,-11.362255,34,25
 brought,-7.827292,42,25
 a,-1.8942297,50,25
 gun,-2.3270211,52,25
 into,-1.1960454,56,25
 the,-0.4153488,61,25
 prison,-1.8823375,65,25
 two,-9.133513,72,25
 weeks,-1.9643996,76,25
 ago,-0.9439535,82,25
 .,-7.7800345,86,25
We,,0,26
 all,-5.224456,2,26
 remember,-4.8330283,6,26
 what,-3.0460522,15,26
 illegally,-16.708193,20,26
 the,-6.978192,30,26
 convict,-11.308128,34,26
 brought,-7.9334574,42,26
 into,-2.684649,50,26
 the,-0.6595468,55,26
 prison,-2.7509289,59,26
 two,-7.7814274,66,26
 weeks,-2.2392056,70,26
 ago,-0.34773517,76,26
 .,-6.736606,80,26
We,,0,27
 all,-5.224464,2,27
 remember,-4.830539,6,27
 that,-2.4787927,15,27
 illegally,-13.829886,20,27
 the,-5.9716573,30,27
 convict,-11.367317,34,27
 brought,-7.8500376,42,27
 into,-2.758757,50,27
 the,-0.8271231,55,27
 prison,-3.9019346,59,27
 two,-4.774533,66,27
 weeks,-7.983607,70,27
 ago,-0.88649577,76,27
 .,-7.306239,80,27
My,,0,28
 friend,-4.2511897,2,28
 reported,-8.936056,9,28
 what,-5.355097,18,28
 illegally,-15.565524,23,28
 the,-4.5211368,33,28
 company,-4.5843463,37,28
 sold,-6.576237,45,28
 multiple,-10.0731125,50,28
 assets,-8.245943,59,28
 to,-1.16525,66,28
 stock,-9.183124,69,28
 holders,-2.407158,75,28
 last,-8.179569,83,28
 quarter,-5.605428,88,28
 .,-5.542558,96,28
My,,0,29
 friend,-4.25121,2,29
 reported,-8.934984,9,29
 that,-1.0264442,18,29
 illegally,-13.821466,23,29
 the,-4.3607535,33,29
 company,-4.942823,37,29
 sold,-5.324443,45,29
 multiple,-9.161975,50,29
 assets,-7.094927,59,29
 to,-1.3258677,66,29
 stock,-9.062828,69,29
 holders,-2.163855,75,29
 last,-8.79634,83,29
 quarter,-5.382304,88,29
 .,-6.2029924,96,29
My,,0,30
 friend,-4.25147,2,30
 reported,-8.944464,9,30
 what,-5.3468294,18,30
 illegally,-15.5531645,23,30
 the,-4.5102086,33,30
 company,-4.584791,37,30
 sold,-6.5630364,45,30
 to,-1.9630661,50,30
 stock,-10.175999,53,30
 holders,-2.9121025,59,30
 last,-6.5722666,67,30
 quarter,-4.1498346,72,30
 .,-5.822006,80,30
My,,0,31
 friend,-4.25147,2,31
 reported,-8.944464,9,31
 that,-1.0240414,18,31
 illegally,-13.816799,23,31
 the,-4.361217,33,31
 company,-4.939479,37,31
 sold,-5.316619,45,31
 to,-3.582521,50,31
 stock,-10.336133,53,31
 holders,-3.4398246,59,31
 last,-7.7302837,67,31
 quarter,-4.470239,72,31
 .,-6.8688903,80,31
I,,0,32
 do,-5.3581066,1,32
 not,-0.88068384,4,32
 know,-1.818975,8,32
 what,-1.8657967,13,32
 with,-10.510789,18,32
 malice,-9.18554,23,32
 her,-10.10484,30,32
 rival,-7.5702863,34,32
 derailed,-13.95471,40,32
 the,-2.2445347,49,32
 performance,-7.1967187,53,32
 with,-4.769916,65,32
 a,-1.8893273,70,32
 cruel,-7.38209,72,32
 plan,-5.7831264,78,32
 last,-9.868789,83,32
 week,-2.3587894,88,32
 .,-6.053883,93,32
I,,0,33
 do,-5.3581066,1,33
 not,-0.88068384,4,33
 know,-1.818975,8,33
 that,-3.8762984,13,33
 with,-7.7001143,18,33
 malice,-9.4081335,23,33
 her,-10.166897,30,33
 rival,-7.634844,34,33
 derailed,-12.947852,40,33
 the,-2.086199,49,33
 performance,-7.935335,53,33
 with,-4.7806416,65,33
 a,-1.7304392,70,33
 cruel,-7.096185,72,33
 plan,-5.6037374,78,33
 last,-10.244738,83,33
 week,-2.270217,88,33
 .,-6.4653387,93,33
I,,0,34
 do,-5.357905,1,34
 not,-0.8793274,4,34
 know,-1.8173211,8,34
 what,-1.8655397,13,34
 with,-10.508726,18,34
 malice,-9.2016945,23,34
 her,-10.1147375,30,34
 rival,-7.55328,34,34
 derailed,-13.959799,40,34
 with,-5.439149,49,34
 a,-2.4858289,54,34
 cruel,-6.627841,56,34
 plan,-5.024505,62,34
 last,-9.460339,67,34
 week,-2.814591,72,34
 .,-5.9213405,77,34
I,,0,35
 do,-5.358221,1,35
 not,-0.8784231,4,35
 know,-1.8191471,8,35
 that,-3.8778298,13,35
 with,-7.7106133,18,35
 malice,-9.409809,23,35
 her,-10.193771,30,35
 rival,-7.639885,34,35
 derailed,-12.961538,40,35
 with,-6.389402,49,35
 a,-2.1983848,54,35
 cruel,-6.77108,56,35
 plan,-4.417092,62,35
 last,-10.308158,67,35
 week,-2.9102893,72,35
 .,-6.2453403,77,35
She,,0,36
 can,-5.4141674,3,36
 guess,-8.975904,7,36
 what,-1.6907341,13,36
 with,-10.640517,18,36
 much,-8.3069725,23,36
 fan,-8.376898,28,36
fare,-0.0328174,32,36
 the,-2.5482054,36,36
 movie,-7.2576346,40,36
 star,-4.4828963,46,36
 received,-7.509188,51,36
 a,-2.5438457,60,36
 prize,-5.839185,62,36
 for,-1.3397764,68,36
 her,-2.563088,72,36
 hard,-6.5681996,76,36
 work,-0.11076561,81,36
 during,-5.1289186,86,36
 the,-0.6092377,93,36
 award,-4.537447,97,36
 ceremony,-0.47347444,103,36
 .,-6.1129875,112,36
She,,0,37
 can,-5.4141674,3,37
 guess,-8.975904,7,37
 that,-2.4061885,13,37
 with,-6.561868,18,37
 much,-7.976199,23,37
 fan,-7.978964,28,37
fare,-0.027030401,32,37
 the,-2.597436,36,37
 movie,-6.9786124,40,37
 star,-3.6981006,46,37
 received,-7.6460505,51,37
 a,-1.501465,60,37
 prize,-6.1476655,62,37
 for,-1.1889259,68,37
 her,-2.2453113,72,37
 hard,-6.562968,76,37
 work,-0.08625961,81,37
 during,-5.2453456,86,37
 the,-0.5545878,93,37
 award,-5.324439,97,37
 ceremony,-0.5905331,103,37
 .,-7.1625185,112,37
She,,0,38
 can,-5.414779,3,38
 guess,-8.973886,7,38
 what,-1.6877142,13,38
 with,-10.641452,18,38
 much,-8.306695,23,38
 fan,-8.371842,28,38
fare,-0.033812247,32,38
 the,-2.540584,36,38
 movie,-7.259279,40,38
 star,-4.4935703,46,38
 received,-7.518785,51,38
 for,-4.0891557,60,38
 her,-1.8651577,64,38
 hard,-6.271119,68,38
 work,-0.10199327,73,38
 during,-5.184762,78,38
 the,-0.52695626,85,38
 award,-5.3691773,89,38
 ceremony,-1.2874483,95,38
 .,-6.592305,104,38
She,,0,39
 can,-5.414779,3,39
 guess,-8.973886,7,39
 that,-2.4068,13,39
 with,-6.5628757,18,39
 much,-7.9767494,23,39
 fan,-7.9935517,28,39
fare,-0.026394712,32,39
 the,-2.59888,36,39
 movie,-6.970563,40,39
 star,-3.7152505,46,39
 received,-7.6311264,51,39
 for,-6.955331,60,39
 her,-2.289424,64,39
 hard,-6.8841543,68,39
 work,-0.12251009,73,39
 during,-4.8600044,78,39
 the,-0.4124321,85,39
 award,-5.7043014,89,39
 ceremony,-1.4907732,95,39
 .,-6.547353,104,39
The,,0,40
 newspaper,-8.602253,3,40
 reported,-2.617685,13,40
 who,-11.720596,22,40
 brutally,-12.52383,26,40
 the,-6.1666465,35,40
 suspect,-5.889341,39,40
 killed,-2.8489861,47,40
 the,-1.0412333,54,40
 witness,-9.239246,58,40
 with,-4.3258452,66,40
 a,-0.9146244,71,40
 gun,-3.6391277,73,40
 in,-3.0778928,77,40
 the,-0.98060685,80,40
 middle,-4.4669485,84,40
 of,-0.019530078,91,40
 the,-0.30748507,94,40
 night,-2.9106846,98,40
 .,-6.712114,104,40
The,,0,41
 newspaper,-8.602847,3,41
 reported,-2.6191342,13,41
 that,-0.4288138,22,41
 brutally,-16.242926,27,41
 the,-7.2367883,36,41
 suspect,-7.038215,40,41
 killed,-3.2090924,48,41
 the,-1.0985878,55,41
 witness,-8.945335,59,41
 with,-3.5996544,67,41
 a,-0.76089954,72,41
 gun,-3.5733097,74,41
 in,-2.7104719,78,41
 the,-1.1670547,81,41
 middle,-3.973494,85,41
 of,-0.013101648,92,41
 the,-0.32432136,95,41
 night,-3.132673,99,41
 .,-7.121124,105,41
The,,0,42
 newspaper,-8.602496,3,42
 reported,-2.617329,13,42
 who,-11.707094,22,42
 brutally,-12.522439,26,42
 the,-6.1717253,35,42
 suspect,-5.9006834,39,42
 killed,-2.846274,47,42
 with,-5.775761,54,42
 a,-1.310237,59,42
 gun,-3.8295841,61,42
 in,-2.9534767,65,42
 the,-0.95685035,68,42
 middle,-4.686422,72,42
 of,-0.022619432,79,42
 the,-0.4253106,82,42
 night,-2.491978,86,42
 .,-6.7068925,92,42
The,,0,43
 newspaper,-8.602496,3,43
 reported,-2.617329,13,43
 that,-0.4297325,22,43
 brutally,-16.239416,27,43
 the,-7.2288833,36,43
 suspect,-7.061987,40,43
 killed,-3.2195354,48,43
 with,-5.34697,55,43
 a,-1.1097088,60,43
 gun,-4.1666546,62,43
 in,-3.691792,66,43
 the,-0.8852573,69,43
 middle,-4.726726,73,43
 of,-0.023956245,80,43
 the,-0.31213742,83,43
 night,-2.623063,87,43
 .,-7.1293974,93,43
We,,0,44
 recall,-9.6523,2,44
 what,-4.7755275,9,44
 cl,-12.813876,14,44
ums,-4.648853,17,44
ily,-0.64668393,20,44
 the,-4.5362964,23,44
 man,-5.2740517,27,44
 placed,-8.019985,31,44
 a,-2.891887,38,44
 delicate,-7.7122917,40,44
 plate,-5.393366,49,44
 next,-5.8564053,55,44
 to,-0.022585412,60,44
 the,-1.1209005,63,44
 oven,-7.700659,67,44
 over,-8.060258,72,44
 an,-3.7932336,77,44
 hour,-2.6935313,80,44
 ago,-0.37326625,85,44
 .,-7.3696856,89,44
We,,0,45
 recall,-9.6523,2,45
 that,-1.0871848,9,45
 cl,-10.742925,14,45
ums,-5.5915704,17,45
ily,-1.9062185,20,45
 the,-4.1491175,23,45
 man,-5.7515826,27,45
 placed,-7.688214,31,45
 a,-1.8835988,38,45
 delicate,-8.885384,40,45
 plate,-5.0542974,49,45
 next,-6.118253,55,45
 to,-0.040485814,60,45
 the,-0.9497313,63,45
 oven,-8.047991,67,45
 over,-8.428119,72,45
 an,-4.0116596,77,45
 hour,-3.2522569,80,45
 ago,-0.4477244,85,45
 .,-7.3493137,89,45
We,,0,46
 recall,-9.651719,2,46
 what,-4.772733,9,46
 cl,-12.807605,14,46
ums,-4.6621366,17,46
ily,-0.64069116,20,46
 the,-4.530148,23,46
 man,-5.2717357,27,46
 placed,-8.007847,31,46
 next,-7.1173882,38,46
 to,-0.14940722,43,46
 the,-1.1011124,46,46
 oven,-8.287481,50,46
 over,-7.144848,55,46
 an,-4.411535,60,46
 hour,-1.179422,63,46
 ago,-0.4540476,68,46
 .,-7.338096,72,46
We,,0,47
 recall,-9.6523,2,47
 that,-1.0871875,9,47
 cl,-10.742928,14,47
ums,-5.5915723,17,47
ily,-1.9062185,20,47
 the,-4.149117,23,47
 man,-5.7515836,27,47
 placed,-7.6882153,31,47
 next,-6.8961678,38,47
 to,-0.17433129,43,47
 the,-0.9894869,46,47
 oven,-8.575137,50,47
 over,-7.3540626,55,47
 an,-4.3229585,60,47
 hour,-1.7155197,63,47
 ago,-0.8075281,68,47
 .,-7.308155,72,47
I,,0,48
 remember,-6.042376,1,48
 what,-5.144966,10,48
 with,-10.682102,15,48
 skill,-10.202811,20,48
 the,-4.8868713,26,48
 nurse,-6.1170044,30,48
 administered,-7.5079765,36,48
 the,-2.5873578,49,48
 new,-7.2301416,53,48
 medicine,-2.3258102,57,48
 to,-2.1027763,66,48
 the,-1.9606961,69,48
 patient,-2.024153,73,48
 without,-5.4839835,81,48
 any,-3.661549,89,48
 delay,-4.898347,93,48
 .,-6.4179916,99,48
I,,0,49
 remember,-6.042376,1,49
 that,-2.8232572,10,49
 with,-6.717815,15,49
 skill,-10.187772,20,49
 the,-4.91649,26,49
 nurse,-7.4520106,30,49
 administered,-6.8375244,36,49
 the,-1.5202229,49,49
 new,-7.095502,53,49
 medicine,-2.226803,57,49
 to,-1.9374436,66,49
 the,-2.0310287,69,49
 patient,-1.4300295,73,49
 without,-3.8512008,81,49
 any,-2.944858,89,49
 delay,-4.73509,93,49
 .,-6.8029027,99,49
I,,0,50
 remember,-6.0422673,1,50
 what,-5.145474,10,50
 with,-10.683142,15,50
 skill,-10.212283,20,50
 the,-4.8706264,26,50
 nurse,-6.1275415,30,50
 administered,-7.525647,36,50
 to,-2.326297,49,50
 the,-2.4985518,52,50
 patient,-3.65778,56,50
 without,-7.1005254,64,50
 any,-3.4387445,72,50
 delay,-4.690212,76,50
 .,-5.932945,82,50
I,,0,51
 remember,-6.042261,1,51
 that,-2.8229575,10,51
 with,-6.717329,15,51
 skill,-10.181445,20,51
 the,-4.9203944,26,51
 nurse,-7.4493637,30,51
 administered,-6.8337197,36,51
 to,-2.455158,49,51
 the,-1.9770589,52,51
 patient,-2.6345081,56,51
 without,-6.480791,64,51
 any,-3.061055,72,51
 delay,-4.2025604,76,51
 .,-5.9349055,82,51
Our,,0,52
 friend,-6.7002892,3,52
 knew,-7.8980074,10,52
 what,-2.929895,15,52
 without,-12.968612,20,52
 tact,-10.829948,28,52
 the,-5.415285,33,52
 gossip,-8.977508,37,52
 column,-4.9251447,44,52
 revealed,-9.096755,51,52
 family,-13.007462,60,52
 secrets,-3.0182555,67,52
 to,-2.6073344,75,52
 the,-1.5058792,78,52
 public,-1.938873,82,52
 yesterday,-10.111761,89,52
 .,-5.519508,99,52
Our,,0,53
 friend,-6.7000203,3,53
 knew,-7.904978,10,53
 that,-1.9168383,15,53
 without,-6.841855,20,53
 tact,-11.461592,28,53
 the,-3.4462278,33,53
 gossip,-9.410386,37,53
 column,-3.636885,44,53
 revealed,-10.792845,51,53
 family,-8.560775,60,53
 secrets,-0.5754452,67,53
 to,-2.4596899,75,53
 the,-0.56196535,78,53
 public,-2.2089915,82,53
 yesterday,-12.593621,89,53
 .,-6.2161236,99,53
Our,,0,54
 friend,-6.7006598,3,54
 knew,-7.902166,10,54
 what,-2.933498,15,54
 without,-12.973622,20,54
 tact,-10.808281,28,54
 the,-5.418401,33,54
 gossip,-8.979562,37,54
 column,-4.935839,44,54
 revealed,-9.097413,51,54
 to,-2.4371119,60,54
 the,-1.9150976,63,54
 public,-2.6896305,67,54
 yesterday,-8.093752,74,54
 .,-6.456427,84,54
Our,,0,55
 friend,-6.7003164,3,55
 knew,-7.90403,10,55
 that,-1.9110177,15,55
 without,-6.8434467,20,55
 tact,-11.47251,28,55
 the,-3.4322479,33,55
 gossip,-9.431816,37,55
 column,-3.6602063,44,55
 revealed,-10.764975,51,55
 to,-3.6802936,60,55
 the,-0.94194025,63,55
 public,-2.2370412,67,55
 yesterday,-10.609698,74,55
 .,-7.4478087,84,55
The,,0,56
 mayor,-8.038125,3,56
 told,-4.8929157,9,56
 me,-2.6915808,14,56
 what,-5.0609126,17,56
 with,-10.52087,22,56
 public,-8.066886,27,56
 funds,-5.325968,34,56
 the,-5.174012,40,56
 workers,-7.6444983,44,56
 repaired,-10.198083,52,56
 the,-0.65785223,61,56
 bridge,-3.3773067,65,56
 for,-3.421583,72,56
 the,-1.7197077,76,56
 town,-4.6556816,80,56
 over,-6.179997,85,56
 the,-0.32359442,90,56
 summer,-6.069326,94,56
 .,-7.5355225,101,56
The,,0,57
 mayor,-8.038351,3,57
 told,-4.8960075,9,57
 me,-2.6839123,14,57
 that,-1.3643337,17,57
 with,-6.273554,22,57
 public,-7.567045,27,57
 funds,-3.9464085,34,57
 the,-4.228498,40,57
 workers,-7.1307425,44,57
 repaired,-9.265983,52,57
 the,-0.67011833,61,57
 bridge,-3.941695,65,57
 for,-3.5444283,72,57
 the,-1.6394506,76,57
 town,-5.055494,80,57
 over,-6.504559,85,57
 the,-0.34182036,90,57
 summer,-5.6867094,94,57
 .,-8.039779,101,57
The,,0,58
 mayor,-8.037872,3,58
 told,-4.894897,9,58
 me,-2.6829712,14,58
 what,-5.0545244,17,58
 with,-10.513132,22,58
 public,-8.050999,27,58
 funds,-5.323688,34,58
 the,-5.1655836,40,58
